Order_ID,Order_Date,Customer_Name,Product_Name,Quantity,Unit_Price,Discount_Percent,Total_Sales,Shipping_Cost,Profit,Profit_Margin,Revenue_Per_Unit,Shipping_Cost_Ratio,High_Value_Order,Order_Size,Price_Category,Discount_Band,Profit_Category,Year,Month,Quarter,Weekend_Order,Customer_Segment_Corporate,Customer_Segment_Home Office,Region_Europe,Region_Middle East & Africa,Region_North America,Region_South America,Country_Australia,Country_Brazil,Country_Canada,Country_China,Country_Colombia,Country_France,Country_Germany,Country_India,Country_Italy,Country_Japan,Country_Mexico,Country_Nigeria,Country_Saudi Arabia,Country_South Africa,Country_South Korea,Country_Spain,Country_UAE,Country_United Kingdom,Country_United States,Product_Category_Furniture,Product_Category_Office Supplies,Product_Category_Technology,Payment_Method_Cash on Delivery,Payment_Method_Credit Card,Payment_Method_PayPal,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday
ORD-11121,2023-01-02,Karen Suzuki,Wireless Bluetooth Headphones,-0.2061890397306598,0.32917291340996657,-1.180873133858159,0.14643677413542613,-0.6878972931073224,0.3306972957157637,0.7827748953876517,0.4478491771227893,-0.6227812249165242,1,2,1,1,0,2023,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
ORD-11244,2023-01-02,John Johansson,Mechanical Gaming Keyboard,0.16365677144541152,0.31025529953518216,1.5741531335274555,0.1858889773576456,0.269611494332021,0.03041925601944431,0.2386028114409537,0.15731090652076496,-0.5749190050101166,1,1,1,0,0,2023,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
ORD-10325,2023-01-03,Jessica Garcia,Binder Clips Assorted 48pc,-0.5760348509067311,-0.7893625362931206,-1.180873133858159,-0.5772719318912529,-0.9157843845178864,-0.5507241752862896,-0.10150474102573252,-0.773954484313604,0.5219510415346585,0,2,0,1,1,2023,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
ORD-10467,2023-01-03,Clara Taylor,Webcam HD 1080p,-0.5760348509067311,-0.1446502554404674,0.8853965666810519,-0.35849390898632716,-0.404474692025277,-0.38618925910402063,0.17953149969673982,-0.19756182229422542,-0.38710105241186893,0,2,2,0,2,2023,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
ORD-11454,2023-01-05,Felix Thomas,Standing Desk Converter,0.16365677144541152,3.2455122683467335,1.5741531335274555,2.133034296892451,-0.3470241647789163,1.26512183958431,0.140866641100527,2.7224235658899887,-0.6911086698863612,1,1,1,0,0,2023,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
ORD-11746,2023-01-05,Fatima Suzuki,Bookshelf 5-Tier,-0.9458806620828024,-0.1437674334596441,0.19663999983464828,-0.4877005281541263,-1.344748321290712,-0.48521557631137824,0.09897971095462993,-0.15402929810729332,-0.3775286084305874,0,2,2,2,1,2023,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
ORD-11162,2023-01-06,Felix Rodriguez,Premium Notebook Set A5,-0.5760348509067311,-0.735258160611237,-0.4921165670117554,-0.558761554236295,-1.2087820734743253,-0.5161885653938557,0.34135109308088946,-0.725187036332041,0.03573690414060088,0,2,0,1,1,2023,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
ORD-11271,2023-01-06,Ayumi Ferrari,Laptop Stand Adjustable,-0.5760348509067311,-0.4971484606406172,0.19663999983464828,-0.4738438895141155,0.28301661735617184,-0.5094995630567949,-0.16773621176924508,-0.501462924687808,0.05191103362621442,0,2,3,2,1,2023,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ORD-11702,2023-01-06,Thomas Smith,Standing Desk Converter,-0.5760348509067311,3.288896662832906,-0.4921165670117554,1.0262548939724911,-0.18807770606398527,1.0362416291814014,0.5350333940119181,3.450629017953668,-0.6637116750433831,1,2,1,1,0,2023,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORD-10847,2023-01-07,Ali Rodriguez,Folding Table Portable,-0.9458806620828024,-0.18362054002252326,-0.4921165670117554,-0.48746522674325815,-0.1670125127403198,-0.5154614999224362,-0.16881023561913985,-0.15278944773488076,-0.014435905692322927,0,2,2,1,1,2023,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
